Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE SECOND-HAND NEW JERSEY,ACCOR ALL,WE ARE SOCIAL,Sponsorship & Brand Partnership,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/06fdbf3000c44123be4547a25332776b
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,LAYS ICONIC RESTAURANT,PEPSICO / LAYS NL,FITZROY,Sponsorship & Brand Partnership,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/98297d998a9f4e378cb87bd3ba63c43b
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,IT MAKES SENSE,PEPSICO,PEPSICO,Sponsorship & Brand Partnership,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/fab2469b42b74a198999a3f1ef91d862
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,FUTURE NEWS,UNIVERSITY OF ANTWERP,WUNDERMAN THOMPSON,Integrated Campaign led by Brand Experience & Activation,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/4f0c15be086b4fc48413da38379ab26f
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,UNFORGETTABLE DENIM,DIESEL,PUBLICIS ITALY,Integrated Campaign led by Brand Experience & Activation,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/ebf8ace344fb44d1b45cd8f142ae5343
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,ZALANDO - HET NIEUWE STERKSEL,ZALANDO,BOOMERANG AGENCY,Integrated Campaign led by Brand Experience & Activation,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6376437aa11c45b987a48be309b4a466
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,FEET (TRADEMARK),BRUSSELS MOBILITY,MORTIERBRIGADE,Integrated Campaign led by Brand Experience & Activation,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/2dff0963e4324a7b96c277dac3b50577/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE LAST DAY PASS,MOUNTAIN VISION,SERVICEPLAN GERMANY,Local Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/27a15869185547bbb84ef85e0c97fcfd
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,POETRY ALL AROUND,YANDEX,YANDEXMUSIC,Local Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/6af3f606a5244b1db50ed5407d86181e
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,CARREFOUR X FORTNITE THE HEALTHY MAP,CARREFOUR,PUBLICIS CONSEIL,Challenger Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/d77fc2a705384f609afcb1e8166b416e
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE PLAYLIST SONG,TWINTOES,MORTIERBRIGADE,Challenger Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e86f669ac3564dd0afa4a3dcad751e9b
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,PEPSI MAX FRANCE,PEPSICO,PEPSICO,Challenger Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/7a3d20f2feec449293d23b691b43350d
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,FARM OFFICE,BIO SUISSE,THJNK,Single-market Campaign,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/180e37b6abc34f5f8beaaa33e4ca11f7
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,VISA RECYCLING,S7 AIRLINES,GREAT ADVERTISING GROUP,Single-market Campaign,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/42e80b5ec14544ae92047152f892c08f
