Festival,Year,Track,Title,Brand,Agency,Category,Award,Product,Permalink
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,FABRIC DESIGN,Finalist,Marble Cape Town,/awards/the_loerie_awards/2025/campaigns/marble-cape-town-marble-cape-town-grid-worldwide-2025-4/
The Loerie Awards,2025,Design,African Bank Fashionable Banking,African Bank,House of Brave,FABRIC DESIGN,Finalist,Fashionable Banking,/awards/the_loerie_awards/2025/campaigns/african-bank-fashionable-banking-african-bank-house-of-brave-2025/
The Loerie Awards,2025,Design,Phones Down Picnic,SAB ABInBev,Joe Public,FABRIC DESIGN,Finalist,Brutal Fruit Spritzer,/awards/the_loerie_awards/2025/campaigns/phones-down-picnic-sab-abinbev-joe-public-2025/
The Loerie Awards,2025,Design,Kicks Key,Nissan ME,Digitas ME,INDUSTRIAL PRODUCT DESIGN,Bronze,Nissan Kicks,/awards/the_loerie_awards/2025/campaigns/kicks-key-nissan-me-digitas-me-2025/
The Loerie Awards,2025,Design,Shield The Protest,Courageous Conversation Global Foundation,Horizon FCB Dubai,INDUSTRIAL PRODUCT DESIGN,Bronze,Courageous Conversation Global Foundation,/awards/the_loerie_awards/2025/campaigns/shield-the-protest-courageous-conversation-global-foundation-horizon-fcb-dubai-2025/
The Loerie Awards,2025,Design,Jeep Grille Grill,Jeep,Lion Communication FZ - LLC,INDUSTRIAL PRODUCT DESIGN,Finalist,Wrangler,/awards/the_loerie_awards/2025/campaigns/jeep-grille-grill-jeep-lion-communication-fz-llc-2025/
The Loerie Awards,2025,Design,Safety Mouse,Salam,Digitas ME,INDUSTRIAL PRODUCT DESIGN,Finalist,Safety Mouse,/awards/the_loerie_awards/2025/campaigns/safety-mouse-salam-digitas-me-2025/
The Loerie Awards,2025,Design,Sunshine-Smoking-Gun,Sunshinegun,Sunshinegun,INDUSTRIAL PRODUCT DESIGN,Finalist,Design Agency,/awards/the_loerie_awards/2025/campaigns/sunshine-smoking-gun-sunshinegun-sunshinegun-2025/
The Loerie Awards,2025,Design,Mobile Cooler,Heineken,LePub Johannesburg,INDUSTRIAL PRODUCT DESIGN,Finalist,Heineken beer,/awards/the_loerie_awards/2025/campaigns/mobile-cooler-heineken-lepub-johannesburg-2025/
The Loerie Awards,2025,Design,54 Collective - Mixed Media,54 Collective,BCKRDS Pty Ltd,DESIGN MIXED-MEDIA CAMPAIGN,Finalist,Mixed Media,/awards/the_loerie_awards/2025/campaigns/54-collective-mixed-media-54-collective-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,MOM Mixed Media,Spotify,BCKRDS Pty Ltd,DESIGN MIXED-MEDIA CAMPAIGN,Finalist,Music Festival,/awards/the_loerie_awards/2025/campaigns/mom-mixed-media-spotify-bckrds-pty-ltd-2025/
The Loerie Awards,2025,Design,A Living Growing Identity,Standard Bank Mycohab,Design Bridge and Partners,DESIGN MIXED-MEDIA CAMPAIGN,Finalist,Mycohab,/awards/the_loerie_awards/2025/campaigns/a-living-growing-identity-standard-bank-mycohab-design-bridge-and-partners-2025-2/
The Loerie Awards,2025,Design,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,DESIGN MIXED-MEDIA CAMPAIGN,Finalist,The Luxurious Marble Circus,/awards/the_loerie_awards/2025/campaigns/the-luxurious-marble-circus-the-marble-group-grid-worldwide-2025-3/
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,DESIGN MIXED-MEDIA CAMPAIGN,Finalist,Marble Cape Town,/awards/the_loerie_awards/2025/campaigns/marble-cape-town-marble-cape-town-grid-worldwide-2025-5/
The Loerie Awards,2025,Design,GHOST TOWN,CARREFOURSA,TBWA-Istanbul,PHOTOGRAPHY,Finalist,RETAIL,/awards/the_loerie_awards/2025/campaigns/ghost-town-carrefoursa-tbwa-istanbul-2025-2/
The Loerie Awards,2025,Design,Show Ghana Love,Previdar,The Odd Number,PHOTOGRAPHY,Finalist,Online Magazine,/awards/the_loerie_awards/2025/campaigns/show-ghana-love-previdar-the-odd-number-2025/
The Loerie Awards,2025,Design,Cheetos Pants Posters,Cheetos,Impact BBDO,WRITING FOR DESIGN,Finalist,Cheetos,/awards/the_loerie_awards/2025/campaigns/cheetos-pants-posters-cheetos-impact-bbdo-2025-2/
The Loerie Awards,2025,Design,Basecamp Rule the Urban Wilderness,Basecamp,Sunshinegun,WRITING FOR DESIGN,Finalist,Outdoor Gear,/awards/the_loerie_awards/2025/campaigns/basecamp-rule-the-urban-wilderness-basecamp-sunshinegun-2025-2/
The Loerie Awards,2025,Design,Marble Cape Town,Marble Cape Town,Grid Worldwide,ILLUSTRATION,Craft Gold,Marble Cape Town,/awards/the_loerie_awards/2025/campaigns/marble-cape-town-marble-cape-town-grid-worldwide-2025-6/
The Loerie Awards,2025,Design,Retire Cash - Rhino Lion Elephant,Pantry,Grid Worldwide,ILLUSTRATION,Campaign Craft Certificate,Cashless tills,/awards/the_loerie_awards/2025/campaigns/retire-cash-rhino-lion-elephant-pantry-grid-worldwide-2025/
The Loerie Awards,2025,Design,Basecamp Rule the Urban Wilderness,Basecamp,Sunshinegun,ILLUSTRATION,Finalist,Outdoor Gear,/awards/the_loerie_awards/2025/campaigns/basecamp-rule-the-urban-wilderness-basecamp-sunshinegun-2025-3/
The Loerie Awards,2025,Design,Ruby Blooms,Nana,Saatchi Saatchi Middle East,ILLUSTRATION,Finalist,Sanitary Pads,/awards/the_loerie_awards/2025/campaigns/ruby-blooms-nana-saatchi-saatchi-middle-east-2025-2/
The Loerie Awards,2025,Design,LumpDolls,Carrefour,Saatchi Saatchi Middle East,ILLUSTRATION,Finalist,Dolls,/awards/the_loerie_awards/2025/campaigns/lumpdolls-carrefour-saatchi-saatchi-middle-east-2025-2/
The Loerie Awards,2025,Design,Never Afraid,Machine-,Machine-,ILLUSTRATION,Finalist,Machine-,/awards/the_loerie_awards/2025/campaigns/never-afraid-machine-machine-2025/
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,ILLUSTRATION,Finalist,Cashless tills,/awards/the_loerie_awards/2025/campaigns/retire-cash-pantry-grid-worldwide-2025-5/
The Loerie Awards,2025,Design,Retire Cash,Pantry,Grid Worldwide,ILLUSTRATION,Finalist,Cashless tills,/awards/the_loerie_awards/2025/campaigns/retire-cash-pantry-grid-worldwide-2025-6/
The Loerie Awards,2025,Design,Squeeze the day,Sir Fruit,Bain Bunkell,ILLUSTRATION,Finalist,Sir Fruit Beverages,/awards/the_loerie_awards/2025/campaigns/squeeze-the-day-sir-fruit-bain-bunkell-2025/
The Loerie Awards,2025,Design,ENS Timeless Tales,ENS,Design Bridge and Partners,ILLUSTRATION,Finalist,ENS,/awards/the_loerie_awards/2025/campaigns/ens-timeless-tales-ens-design-bridge-and-partners-2025-2/
The Loerie Awards,2025,Design,ENS Timeless Tales,ENS,Design Bridge and Partners,ILLUSTRATION,Finalist,ENS,/awards/the_loerie_awards/2025/campaigns/ens-timeless-tales-ens-design-bridge-and-partners-2025-3/
The Loerie Awards,2025,Design,ENS Timeless Tales,ENS,Design Bridge and Partners,ILLUSTRATION,Finalist,ENS,/awards/the_loerie_awards/2025/campaigns/ens-timeless-tales-ens-design-bridge-and-partners-2025-4/
