Festival,Year,Track,Title,Brand,Agency,Category,Award,Product
The Loerie Awards,2025,Digital,DropYourBarWithSunlight,Sunlight,Mullen Lowe South Africa,CO-CREATION USER GENERATED CONTENT,Finalist,Sunlight Laundry Bar Soap
The Loerie Awards,2025,Digital,Forever Golf,Volkswagen South Africa,Ogilvy,CO-CREATION USER GENERATED CONTENT,Finalist,Golf
The Loerie Awards,2025,Digital,Ultimate Taste Test MakeItKFC,KFC South Africa,Ogilvy,CO-CREATION USER GENERATED CONTENT,Finalist,KFC Brand
The Loerie Awards,2025,Digital,Your Ma Se KFC,KFC South Africa,Ogilvy,CO-CREATION USER GENERATED CONTENT,Finalist,KFC Brand
The Loerie Awards,2025,Digital,The F-Show,Sanlam,Accenture Song,USE OF INFLUENCERS,Silver,Brand
The Loerie Awards,2025,Digital,The Unfluencer,KFC,Bananas,USE OF INFLUENCERS,Bronze,Buldak Dunked Wings
The Loerie Awards,2025,Digital,NEURAL MURALS,DEPARTMENT OF CULTURE AND TOURISM ABU DHABI,SERVICEPLAN MIDDLE EAST FZ-LLC,USE OF INFLUENCERS,Bronze,SAADIYAT CULTURE DISTRICT
The Loerie Awards,2025,Digital,Pay With Your Trend,Pizza Hut,Publicis Middle East,USE OF INFLUENCERS,Bronze,Pizza Hut
The Loerie Awards,2025,Digital,Sasol Mzansi Tour,Sasol,Bluecloud AI,USE OF INFLUENCERS,Finalist,Sasol Rewards
The Loerie Awards,2025,Digital,Behind the Label,The Salvation Army,Clockwork,USE OF INFLUENCERS,Finalist,The Salvation Army
The Loerie Awards,2025,Digital,JENNYFER Influencer Case Study,JENNYFER,CIRCUS,USE OF INFLUENCERS,Finalist,Fast Fashion Clothing and Accessories
The Loerie Awards,2025,Digital,Show Ghana Love,Previdar,The Odd Number,USE OF INFLUENCERS,Finalist,Online Magazine
The Loerie Awards,2025,Digital,STREET BITES WITH SHAQ,DEPARTMENT OF CULTURE AND TOURISM ABU DHABI,SERVICEPLAN MIDDLE EAST FZ-LLC,USE OF INFLUENCERS,Finalist,EXPERIENCE ABU DHABI
The Loerie Awards,2025,Digital,Co-creating The Ultimate Taste Test MakeItKFC,KFC South Africa,Ogilvy,USE OF INFLUENCERS,Finalist,KFC
The Loerie Awards,2025,Digital,Influencer for Your Ma Se KFC,KFC South Africa,Ogilvy,USE OF INFLUENCERS,Finalist,KFC Brand
The Loerie Awards,2025,Digital,Vaseline Verified,Unilever,Ogilvy South Africa Ogilvy Singapore,USE OF INFLUENCERS,Finalist,Vaseline Verified
The Loerie Awards,2025,Digital,Glazed and Glowing,Unilever,Ogilvy,USE OF INFLUENCERS,Finalist,Vaseline Cera Glow
The Loerie Awards,2025,Digital,School of Elastoplast,Elastoplast,Dentsu Creative,USE OF INFLUENCERS,Finalist,Wound Care
The Loerie Awards,2025,Digital,Shouldagotavivo,Volkswagen South Africa,Ogilvy,USE OF INFLUENCERS,Finalist,General
The Loerie Awards,2025,Digital,The Revealing Pour,SAB ABInBev,Joe Public,USE OF INFLUENCERS,Finalist,Castle Milk Stout
The Loerie Awards,2025,Digital,Keep Them Guessing,Mercedes-Benz,Network BBDO,USE OF INFLUENCERS,Finalist,V-Class
The Loerie Awards,2025,Digital,The Artois Collective,SAB ABinBev,Communications Services Africa Pty Ltd,USE OF INFLUENCERS,Finalist,Stella Artois
