Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Company,Brand,Product,Producer,Award,Permalink
FIAP,2024,Innovacion,Innovacion en PR,Castillo de If,Independientes,Independientes,Monumentos a la Corrupcion,Guatemala,Help International,Help International,Help International,Castillo de If,SHORTLIST,/awards/fiap/2024/campaigns/monumentos-a-la-corrupcion-help-international-castillo-de-if-2024/
FIAP,2024,Innovacion,Innovacion en PR,LLYC,Independientes,Independientes,Paseadores de Ninos,Espana,Multiopticas,Multiopticas,Optica,Matrimonio,SHORTLIST,/awards/fiap/2024/campaigns/paseadores-de-ninos-multiopticas-llyc-2024-3/
FIAP,2024,Innovacion,Innovacion en Radio,Mullenlowe Delta,MullenLowe Group,IPG,In the voice of the farmers,Ecuador,Banco Pichincha,Banco Pichincha,Creditos para agricultura,Fletcher Munson,SHORTLIST,/awards/fiap/2024/campaigns/in-the-voice-of-the-farmers-banco-pichincha-mullenlowe-delta-2024/
FIAP,2024,Innovacion,Innovacion en Redes Sociales,Soulnet LLC,Independientes,Independientes,Bacardi Nicknames Campaign - Muchos nombres un solo Bacardi,USA,Bacardi,Bacardi,Bacardi Carta Blanca- Edicion Apodos,Soulnet LLC,SHORTLIST,/awards/fiap/2024/campaigns/bacardi-nicknames-campaign-muchos-nombres-un-solo-bacardi-bacardi-soulnet-llc-2024/
FIAP,2024,Innovacion,Innovacion en Redes Sociales,Team Remoto,Independientes,Independientes,Content Hub - Mas de 100 contenidos creados por usuarios en un dia,USA,Bancolombia,Bancolombia,Redes Sociales Bancolombia,Team Remoto,SHORTLIST,/awards/fiap/2024/campaigns/content-hub-mas-de-100-contenidos-creados-por-usuarios-en-un-dia-bancolombia-team-remoto-2024-2/
FIAP,2024,Innovacion,Innovacion en Redes Sociales,La doblevida - Colours,Independientes,Independientes,Nada mas mexicano,Mexico,Casa Lumbre,Ojo de Tigre- Tequila Defrente,Ojo de Tigre- Tequila Defrente,VDM,SHORTLIST,/awards/fiap/2024/campaigns/nada-mas-mexicano-ojo-de-tigre-tequila-defrente-la-doblevida-colours-2024-3/
FIAP,2024,Innovacion,Innovacion en Redes Sociales,LLYC,Independientes,Independientes,Paseadores de Ninos,Espana,Multiopticas,Multiopticas,Optica,Matrimonio,SHORTLIST,/awards/fiap/2024/campaigns/paseadores-de-ninos-multiopticas-llyc-2024-4/
FIAP,2024,Innovacion,Innovacion en Redes Sociales,Concept McCann,McCann Worldgroup,IPG,Simpletv Hot Pack,Venezuela,Simpletv,Simpletv,Hot Pack,Concept McCann,SHORTLIST,/awards/fiap/2024/campaigns/simpletv-hot-pack-simpletv-concept-mccann-2024/
FIAP,2024,Innovacion,Innovacion en Television,BETC Havas,Havas Creative,HAVAS,Credito en los Creditos,Brasil,Santander,Santander,Credito,O2 Filmes,SHORTLIST,/awards/fiap/2024/campaigns/credito-en-los-creditos-santander-betc-havas-2024-2/
FIAP,2024,Innovacion,Innovacion en Television,RosadoToledo,Independientes,Independientes,Elijo Estar Contigo,Puerto Rico,Triple-S,Triple-S,Triple-S Advantage,RosadoToledo,SHORTLIST,/awards/fiap/2024/campaigns/elijo-estar-contigo-triple-s-rosadotoledo-2024-4/
FIAP,2024,Innovacion,New Business-Nuevos Negocios,El Taier DDB Centro,DDB Worldwide,Omnicom,Smart Legacy,Guatemala,Ifthen Inc,Smart Legacy,Smart Legacy,Filmico - BBQ Media,SHORTLIST,/awards/fiap/2024/campaigns/smart-legacy-smart-legacy-el-taier-ddb-centro-2024-4/
FIAP,2024,Innovacion,Salud,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Manuales para Sobrevivir,El Salvador,Fundacion Humanos por Humanos,manualesparasobrevivirorg,manualesparasobrevivirorg,Simple Society- Garage Films,SHORTLIST,/awards/fiap/2024/campaigns/manuales-para-sobrevivir-manualesparasobrevivirorg-publicidad-comercial-mullenlowe-2024-7/
FIAP,2024,Innovacion,Salud,Conill Advertising,Saatchi Saatchi,Publicis Groupe,Therapy Rings,USA,MINDY,MINDY,Terapia,Parana Films,SHORTLIST,/awards/fiap/2024/campaigns/therapy-rings-mindy-conill-advertising-2024-2/
FIAP,2024,Innovacion,Uso de Inteligencia Artificial,Digitas,Publicis Worldwide,Publicis Groupe,Captura La Noche,Chile,Samsung,Samsung,Samsung S23,Quijote,SHORTLIST,/awards/fiap/2024/campaigns/captura-la-noche-samsung-digitas-2024/
FIAP,2024,Innovacion,Uso de Inteligencia Artificial,Buentipo Anchor,Independientes,Independientes,La mama perfecta,Colombia,KIMBERLY CLARCK,HUGGIES,HUGGIES DIA DE LAS MADRES,MACARENA,SHORTLIST,/awards/fiap/2024/campaigns/la-mama-perfecta-huggies-buentipo-anchor-2024/
FIAP,2024,Innovacion,Uso de Inteligencia Artificial,Gloss,Independientes,Independientes,Mesas inesperadas,Argentina,INBEV Argentina,Stella Artois,Stella Artois,Bermuda Creative,SHORTLIST,/awards/fiap/2024/campaigns/mesas-inesperadas-stella-artois-gloss-2024-2/
FIAP,2024,Anuncios,Radio - Campanas Productos - Servicios - Corporativas,Zubi Advertising,VML,WPP,The Undercover Names,USA,The CLEO Institute,The CLEO Institute,The CLEO Institute,Indiehouse,SHORTLIST,/awards/fiap/2024/campaigns/the-undercover-names-the-cleo-institute-zubi-advertising-2024-2/
FIAP,2024,Anuncios,Television - Cine - Digital - Campanas Bien Publico,Lopez Negrete Communcations,Independientes,Independientes,Las Cosas de La Edad,USA,Ad Council,Alzheimers Association,Alzheimers Association,Zuma 4,SHORTLIST,/awards/fiap/2024/campaigns/las-cosas-de-la-edad-alzheimers-association-lopez-negrete-communcations-2024/
FIAP,2024,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Lopez Negrete Communcations,Independientes,Independientes,Las Cosas de La Edad,USA,Ad Council - Alzheimers Association,Alzheimers Awareness,Alzheimers Awareness,Zuma 4,SHORTLIST,/awards/fiap/2024/campaigns/las-cosas-de-la-edad-alzheimers-awareness-lopez-negrete-communcations-2024/
