Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City,Permalink
Grand Prix,FCB Chicago,Chicago,UNITED STATES,Design,,Caption with Intention,,Rakish Entertainment,FCB Chicago,Chicago,/awards/lia_awards/2025/campaigns/caption-with-intention-fcb-chicago-2025/
Gold,Ogilvy Argentina,Buenos Aires,ARGENTINA,Audio Radio,Creativity in Commerce,Calm Is Simple,The Sound of Divorce,Calm es Simple,Ogilvy Argentina,Buenos Aires,/awards/lia_awards/2025/campaigns/the-sound-of-divorce-calm-is-simple-ogilvy-argentina-2025/
Gold,Monks,Buenos Aires,ARGENTINA,Branded Entertainment,Creative Use of Data,Netflix,Sennas Cut,Netflix Latam,Monks,Buenos Aires,/awards/lia_awards/2025/campaigns/sennas-cut-netflix-monks-2025/
Gold,ATimePlace,Melbourne,AUSTRALIA,Creative Use of Data,Data-Led Creativity,Suzuki,The Suzuki Index,Suzuki Automotive,ATimePlace,Melbourne,/awards/lia_awards/2025/campaigns/the-suzuki-index-suzuki-atimeplace-2025-2/
Gold,AlmapBBDO,Sao Paulo,BRAZIL,Creative Strategy,Cultural Insight,Pedigree,Pedigree Caramelo,Mars,AlmapBBDO,Sao Paulo,/awards/lia_awards/2025/campaigns/pedigree-caramelo-pedigree-almapbbdo-2025/
Gold,DAVID,Sao Paulo,BRAZIL,Creativity In Media,Use of TV and Other Screens,Heinz,Im Still Here Too,Kraft Heinz,DAVID,Sao Paulo,/awards/lia_awards/2025/campaigns/im-still-here-too-heinz-david-2025/
Gold,Rethink,Toronto,CANADA,Ambient Activation,Use of Social Media,IKEA,U up,IKEA,Rethink,Toronto,/awards/lia_awards/2025/campaigns/u-up-ikea-rethink-2025/
Gold,Rethink,Toronto,CANADA,Creative Strategy,Breaking Sector Convention,Molson Coors,Paid Through Parents,Molson Coors Beverage Company,Rethink,Toronto,/awards/lia_awards/2025/campaigns/paid-through-parents-molson-coors-rethink-2025/
Gold,Rethink,Toronto,CANADA,Creative Strategy,CPG-FMCG,Molson Coors,Paid Through Parents,Molson Coors Beverage Company,Rethink,Toronto,/awards/lia_awards/2025/campaigns/paid-through-parents-molson-coors-rethink-2025-2/
Gold,Rethink,Toronto,CANADA,Creativity In Media,Use of Branded Entertainment Content,Kraft Heinz,Cant Unsee It,Kraft Heinz,Rethink,Toronto,/awards/lia_awards/2025/campaigns/cant-unsee-it-kraft-heinz-rethink-2025/
Gold,BBDO China,Shanghai,CHINA,Design,Point-of-Sale,Harbin Beer,The Harbin Back Rack Hack,Anheuser-Busch InBev,BBDO China,Shanghai,/awards/lia_awards/2025/campaigns/the-harbin-back-rack-hack-harbin-beer-bbdo-china-2025/
Gold,Ogilvy Shanghai,Shanghai,CHINA,Design,Craft Photography Campaign,Viatris - Make Love Last,The Bedroom The Hotel Room The Living Room,Viatris,Ogilvy Shanghai,Shanghai,/awards/lia_awards/2025/campaigns/the-bedroom-the-hotel-room-the-living-room-viatris-make-love-last-ogilvy-shanghai-2025/
Gold,DDB Colombia,Bogota,COLOMBIA,Creative Strategy,Creative Use of Data,Procolombia,Humanimal Tourism,Jorge Ivan Rueda,DDB Colombia,Bogota,/awards/lia_awards/2025/campaigns/humanimal-tourism-procolombia-ddb-colombia-2025/
Gold,DAVID,Bogota,COLOMBIA,Design,Challenger Brand,Aguila,Brand of the Match,AB INBEV,DAVID,Bogota,/awards/lia_awards/2025/campaigns/brand-of-the-match-aguila-david-2025/
Gold,Ogilvy,Santo Domingo,DOMINICAN REPUBLIC,Creativity In Media,Corporate Purpose-Social Responsibility,Chevrolet,Night Signals,Santo Domingo Motors,Ogilvy,Santo Domingo,/awards/lia_awards/2025/campaigns/night-signals-chevrolet-ogilvy-2025/
Gold,Ogilvy,Santo Domingo,DOMINICAN REPUBLIC,Creativity In Media,Use of Outdoor,Chevrolet,Night Signals,Santo Domingo Motors,Ogilvy,Santo Domingo,/awards/lia_awards/2025/campaigns/night-signals-chevrolet-ogilvy-2025-2/
Gold,McCann Paris,Paris,FRANCE,Branded Entertainment,Brand IP,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-3/
Gold,McCann Paris,Paris,FRANCE,Branded Entertainment,Documentary Short Film,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-4/
