Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,ODE TO EMPTY ROADS,NISSAN,TBWA\RAAD,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/28e79e7239ca4924a47d9eda24d105cf/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,THE WORLDS MASTERPIECE,ROYAL COMMISION FOR ALULA,LEO BURNETT,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/f896545716c74f05b0db54fa2eaa6d6d?resize=178,178
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,VIRTUAL VISA,DTCM,FILMS BY NOMAD,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/034ee7af55454046894cd134ea8ac9e3/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,RAAD X HILTON TO NEW MEMORIES,HILTON HOTELS,ELECTRICLIMEFILMS,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/9275d90a479a42709aa817e2b96fd3a2/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,KAI SOKHNA | HOMO~SEA~PIANS,MISR ITALIA,ELEPHANT,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/97aa168c59084064b65bb187d1d6e46b/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,CAT,TALABAT,TEAM RED DOT,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/a38b27b0d7624fc081a991b906e37484/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,DISCO,DELIVEROO,? AND US,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/4e0571839b934cfd9d6250c61b2e3ed0/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,SWING,DELIVEROO,? AND US,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/d61384746c2c4d34a6c74f01dd52448b/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,BREAKDANCE,DELIVEROO,? AND US,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/5a6ec94bd5dd4bf5940e11025d16d653/storyboard_000008.jpg
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,WHAT DOES IT MEAN TO BE HUMAN?,LOUVRE ABU DHABI,TBWA\RAAD,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://cdn.filespin.io/api/v1/storyboard/54315053c6834c0ca2ae469731a43a4f/storyboard_000008.jpg?resize=600,600
