Track,Title,Brand,Agency,Category,Award Level,Board image
SCREENS & EVENTS,S O S,GERMAN RAIL,OGILVY GERMANY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/9a06770f68344e1c99f1224716c585f9/storyboard_000008.jpg
SCREENS & EVENTS,OH NO,GERMAN RAIL,OGILVY GERMANY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b2845014dec742178ec36ca7b98729ec/storyboard_000008.jpg
SCREENS & EVENTS,LUFTHANSA - A NEW TRAVEL EXPERIENCE,LUFTHANSA,SERVICEPLAN,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c10559cf4f8c488591c4913d37471364/storyboard_000008.jpg
SCREENS & EVENTS,UNDERWEAR FOR LIFE,LINDEX,LINDEX,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/9bb3b4f4283e4891b0d3a340c10b2f7a/storyboard_000008.jpg
SCREENS & EVENTS,X-MAS HANGOVER,BURGER KING,GRABARZ & PARTNER,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/cd9f4c644564480b8f785175a00bed49/storyboard_000008.jpg
SCREENS & EVENTS,PARIS 2024 OLYMPIC AND PARALYMPIC GAMES,OMEGA,INDIANA PRODUCTION COMPANY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/d4351afe01024c859d440b6c0711b84e/storyboard_000008.jpg
SCREENS & EVENTS,THE LOG RIDE,FLYTOGET - OSLO AIRPORT EXPRESS TRAIN,TRY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1231b57124474f7cabb2c91a7d14ecf7/storyboard_000008.jpg
SCREENS & EVENTS,OCCUPIED,COPENHAGEN METRO,ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/bc6e8ec9d21441cc8745eb726a89f0a0/storyboard_000008.jpg
SCREENS & EVENTS,WELCOME TO DSB,DSB,ACCENTURE SONG,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/bcc094fc75ed40f6ad16718a51b0ed5e/storyboard_000008.jpg
SCREENS & EVENTS,LEAVE THE CULT JOIN THE CLUB,VIRGIN,WE ARE PI,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/be17d36d66454d7eb17bf6e25ba8355e/storyboard_000008.jpg
SCREENS & EVENTS,90 YEARS AND STILL FIT TO FLY,WIDERE,MORGENSTERN,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/45789cc642a74ecb92fe9c28616c0467/storyboard_000008.jpg
SCREENS & EVENTS,OPA!,SCHIBSTED,MORGENSTERN,Media-Entertainment,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/948dc44cf036469fb86a1f96a47c71cc/storyboard_000008.jpg
SCREENS & EVENTS,THE BEACH,SCHIBSTED,MORGENSTERN,Media-Entertainment,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/31655bc264724ff9a7f6db757f902b4f/storyboard_000008.jpg
SCREENS & EVENTS,ZORBA,SCHIBSTED,MORGENSTERN,Media-Entertainment,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/dce6ecdf31df413fa631d2a2357d5e09/storyboard_000008.jpg
SCREENS & EVENTS,IMPOSSIBLE OBJECTS,GJENSIDIGE INSURANCE,NOSLEEPTILLBROOKLYN,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e29e7128d3d0446e985d4764e86b3fc3/storyboard_000008.jpg
SCREENS & EVENTS,MORTGAGE PEOPLE,EBS,EBS,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/28b6448c4e86404c9ed925d8b756e2f7/storyboard_000008.jpg
SCREENS & EVENTS,WHAT FOLLOWS,PIRAEUS,THE NEWTONS LABORATORY,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ec55ef309c7f421a90066bb1529a5938/storyboard_000008.jpg
SCREENS & EVENTS,PUSH PUSH,FINNNO,MORGENSTERN,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/77bc98e0f1774ea8bed35c1540234f6c/storyboard_000008.jpg
SCREENS & EVENTS,LAST EMAIL,FINNNO,MORGENSTERN,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/af616899d0bf4882a975b78208346681/storyboard_000008.jpg
SCREENS & EVENTS,INVISIBLE FIRE,DEUTSCHE TELEKOM,SAATCHI & SAATCHI,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/831072d42f0243f79710bffa9d33c181/storyboard_000008.jpg
SCREENS & EVENTS,SKI,BOURSOBANK,BUZZMAN,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4b4b6897e01745b8926ef36f7ee2da2f/storyboard_000008.jpg
SCREENS & EVENTS,GYM,BOURSOBANK,BUZZMAN,Consumer Services-Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/0b083ddc3efd4911a341cdd819416846/storyboard_000008.jpg
SCREENS & EVENTS,WHOEVER BREATHES NEEDS THE SEA,GREENPEACE,TEAM FARNER,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/83a4a75f43db4a498528188a115e25c2/storyboard_000008.jpg
SCREENS & EVENTS,AN INCONVENIENT QUESTION,EQUAL PAY DAY,MORTIERBRIGADE,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/f08088a8feff477fa92409b451b58102/storyboard_000008.jpg
SCREENS & EVENTS,HIDE AND SEEK,SOS CHILDREN S VILLAGES,NORD DDB,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/13cdab18238c47bcb1c40bf79b47a4bf/storyboard_000008.jpg
SCREENS & EVENTS,LOSEV - OUR CHALLENGES,LOSEV,NISBETIYE,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c441d0d5aff74b5586ebeac6f0ca60e5/storyboard_000008.jpg
SCREENS & EVENTS,LIVING WITH THE GUILT,DIRECCION GENERAL DE TRAFICO,ACCENTURE SONG,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/060d00e1955d475387669c26df86fdf3/storyboard_000008.jpg
SCREENS & EVENTS,YOUR VOICE YOUR VOTE,AN COIMISIUN TOGHCHAIN-THE ELECTORAL COMMISSION,AN COIMISIUN TOGHCHAIN - THE ELECTORAL COMMISSION,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/fd92a40b41c04303a922154c40498cdf/storyboard_000008.jpg
SCREENS & EVENTS,40 YEARS,AIDES,STRIKE,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/d2aeb8a4673e4a3a80b64f30dedd25ba/storyboard_000008.jpg
SCREENS & EVENTS,I M HIRING,SALVATION ARMY,VML,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/cf8a8e9fb5a442fc93ecb5ea504f9268/storyboard_000008.jpg
SCREENS & EVENTS,SLOOPMELK,WAKKER DIER,HOWDY CREATIVE PARTNER,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/30c0f43580aa4fb7a737640618986891/storyboard_000008.jpg
SCREENS & EVENTS,FRATERNITE,LICRA,GRAND BAZAR,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/67dd704f010443a8986f4c876d14dd32/storyboard_000008.jpg
SCREENS & EVENTS,497 LIVES,DANISH ROAD SAFETY COUNCIL,NEW LAND,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/76b2f156ab1546eaa4ec58cbb7eaf8e8/storyboard_000008.jpg
SCREENS & EVENTS,FACE A L INCESTE - BEHIND THE DOOR,FACE A L INCESTE,PUBLICIS CONSEIL,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c15024bef79e474dbda2afa4c8943fc9/storyboard_000008.jpg
SCREENS & EVENTS,GUSTAVE ROUSSY - A TRUE STORY,GUSTAVE ROUSSY,PUBLICIS CONSEIL,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/746555cc845249239ff649bd0b37aa86/storyboard_000008.jpg
SCREENS & EVENTS,STOP VEO - LEGACY,STOP VEO,PUBLICIS CONSEIL,Not-for-profit - Charity - Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/8a380309f3194a8da671857cd8f956df/storyboard_000008.jpg
SCREENS & EVENTS,HYUNDAI GETS ITS DRIVERS LICENSE,HYUNDAI,JUNG VON MATT AG,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/d1875ff7525d428f988af5efb75e861a/storyboard_000008.jpg
SCREENS & EVENTS,ITALIAN CUISINE,COOP,SOK MEDIA,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/6660580ec8734ae58688babdde6fe0d1/storyboard_000008.jpg
SCREENS & EVENTS,FRENCH CUISINE,COOP,SOK MEDIA,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/bbd1d93c48a747c8ac920f38e9533097/storyboard_000008.jpg
SCREENS & EVENTS,SENNHEISER SLEEPERS - GIRL,SENNHEISER,OGILVY AMSTERDAM,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/fc45b411cf914c50b5df4d218a4cf5e6/storyboard_000008.jpg
SCREENS & EVENTS,SENNHEISER SLEEPERS - GUY,SENNHEISER,OGILVY AMSTERDAM,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/360756d3dee8427ba02e92117d12bfc6/storyboard_000008.jpg
SCREENS & EVENTS,MAKE IT REAL,BMW,MONKS,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4aedb3dd25f046d99368916a6c816703/storyboard_000008.jpg
