Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image,Permalink
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,TAXI,THE CHOCOLATE BAR,BEATTIE DANE,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/cb6522635f0a4471a33f62f1fc6306ca/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/taxi-the-chocolate-bar-beattie-dane-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BOAT,THE CHOCOLATE BAR,BEATTIE DANE,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1fe22caa70b6409c84e9d86b9bf6e178/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/boat-the-chocolate-bar-beattie-dane-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BUBBLE BUSTER,MOUNTAIN VIEW,ADVANTAGE MARKETING & ADVERTISING,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/880e987aa5394defac342d92d1995222/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/bubble-buster-mountain-view-advantage-marketing-and-advertising-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BRICK THE RULES,LEGO,GREY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/63838d9d1fec4f2481ebebaed968482d/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/brick-the-rules-lego-grey-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,FEEL MORE IN QATAR,QATAR TOURISM,QATAR TOURISM,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/16e137bfae4c49da8aaa37c191fdb4a8/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/feel-more-in-qatar-qatar-tourism-qatar-tourism-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,APPROVED BY EXPERTS,BURGER KING KUWAIT,M&C SAATCHI,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ce7332c3064d41bb916d14a1be31a802/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/approved-by-experts-burger-king-kuwait-m-and-c-saatchi-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,INSPIRE YOUR WORLD,ITHRA,KING ABDULAZIZ CENTER FOR WORLD CULTURE - ITHRA BY ARAMCO,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4e918b71a3bf4443919ee478c772a9db/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/inspire-your-world-ithra-king-abdulaziz-center-for-world-culture-ithra-by-aramco-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE PROPOSAL,UBER,FP7 McCANN,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ea35a481135e4e3d9155eb4936d703e5/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-proposal-uber-fp7-mccann-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE GOODBYE,UBER,FP7 McCANN,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/106025dc4fc249098b704e9a20544f88/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-goodbye-uber-fp7-mccann-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE RING,DOMINOS PIZZA,TTP CREATIVE AGENCY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/6519d881f5674e2f8fb36b6824dcd573/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-ring-dominos-pizza-ttp-creative-agency-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE KIDNEY,DOMINOS PIZZA,TTP CREATIVE AGENCY,Travel Leisure Retail Restaurants & Fast Food Chains,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b41eee90bbd543bcb4898e3ac0f43233/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-kidney-dominos-pizza-ttp-creative-agency-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,UNLEASH YOUR MOOD (OFFICE),SPOTIFY,WUNDERMAN THOMPSON,Media & Entertainment,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/f8e36e6ae9ae4f0dbf1ddce65f8f9ceb/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/unleash-your-mood-office-spotify-wunderman-thompson-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,UNLEASH YOUR MOOD (ROMANCE),SPOTIFY,WUNDERMAN THOMPSON,Media & Entertainment,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/52e906dbc9064a61822ef07c9e5c16c1/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/unleash-your-mood-romance-spotify-wunderman-thompson-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,UNLEASH YOUR MOOD (WORKOUT),SPOTIFY,WUNDERMAN THOMPSON,Media & Entertainment,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/46fb0bb1fc944f72828bd4ff554cc4f2/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/unleash-your-mood-workout-spotify-wunderman-thompson-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,VALU- THERE IS NOTHING VALU CANT BUY,VALU EGYPT,VALU CONSUMER FINANCE,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/98bbef6c89a7412180534918dc3e5dd0/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/valu-there-is-nothing-valu-cant-buy-valu-egypt-valu-consumer-finance-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,NBE - PASSION TOMATOES,NATIONAL BANK OF EGYPT,TAREK NOUR ADVERTISING,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c0f6b9d501534899b1831fa97098f600/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/nbe-passion-tomatoes-national-bank-of-egypt-tarek-nour-advertising-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,BASED ON TRUE STORIES,TIKTOK FOR BUSINESS,TIKTOK FOR BUSINESS,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c027b0e0252043e686a2f3167daadbb8/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/based-on-true-stories-tiktok-for-business-tiktok-for-business-2023-2/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,ONE CLICK WONDER,EMKAN,TTP CREATIVE AGENCY,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/516f11010f284250aa01e86d6dce552f/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/one-click-wonder-emkan-ttp-creative-agency-2023/
